pot_name,tech_name,year,included,min_levelised_cost,max_levelised_cost,strike_price,load_factor,max_deployment_cap,num_new_projects,project_gen
E,OFW,2020,True,71.3353908668731,103.034791021672,114.074615384615,0.42,1.9,,832
E,OFW,2021,True,71.1099729102167,101.917093653251,112.136153846154,0.434,1.9,,832
E,OFW,2022,True,70.8845549535604,100.79939628483,110.197692307692,0.448,1.9,,832
E,OFW,2023,True,70.659136996904,99.6816989164087,108.259230769231,0.462,1.9,,832
E,OFW,2024,True,70.4337190402477,98.5640015479876,106.320769230769,0.476,1.9,,832
E,OFW,2025,True,70.2083010835913,97.4463041795666,104.382307692308,0.49,1.9,,832
E,OFW,2026,True,69.195606832104,96.3265041921591,102.443846153846,0.49,1.9,,832
E,OFW,2027,True,68.1829125806167,95.2067042047516,100.505384615385,0.49,1.9,,832
E,OFW,2028,True,67.1702183291293,94.0869042173441,98.5669230769231,0.49,1.9,,832
E,OFW,2029,True,66.157524077642,92.9671042299366,96.6284615384615,0.49,1.9,,832
E,OFW,2030,True,65.1448298261547,91.847304242529,94.69,0.49,1.90000000000001,,832
